Step 10000: Accuracy(0.443683330963), Loss(0.00873627356486)
Step 10100: Accuracy(0.437999997437), Loss(0.00882014565946)
Step 10200: Accuracy(0.446766664833), Loss(0.00871147465504)
Step 10300: Accuracy(0.43934999754), Loss(0.00882584222592)
Step 10400: Accuracy(0.442799996932), Loss(0.00877588300733)
Step 10500: Accuracy(0.43933333079), Loss(0.00888077831905)
Step 10600: Accuracy(0.441099998107), Loss(0.00881983056587)
Step 10700: Accuracy(0.437433331013), Loss(0.00876139197111)
Step 10800: Accuracy(0.434783331354), Loss(0.00895734834252)
Step 10900: Accuracy(0.444049997578), Loss(0.00876646382734)
Step 11000: Accuracy(0.443533331503), Loss(0.00881136475209)
Step 11100: Accuracy(0.44296666493), Loss(0.00871497965418)
Step 11200: Accuracy(0.441949996849), Loss(0.00875726472276)
Step 11300: Accuracy(0.439666664551), Loss(0.00881214582749)
Step 11400: Accuracy(0.445133330772), Loss(0.00878883837489)
Step 11500: Accuracy(0.445533330639), Loss(0.00865232219997)
Step 11600: Accuracy(0.445766663601), Loss(0.00873761022696)
Step 11700: Accuracy(0.442016664594), Loss(0.00872143337037)
Step 11800: Accuracy(0.438733331114), Loss(0.00878462030863)
Step 11900: Accuracy(0.440766664296), Loss(0.00871098142505)
Step 12000: Accuracy(0.43761666432), Loss(0.00885251023962)
Step 12100: Accuracy(0.446933330695), Loss(0.00867485912361)
Step 12200: Accuracy(0.449849997063), Loss(0.00861368528645)
Step 12300: Accuracy(0.448216663996), Loss(0.00865135022517)
Step 12400: Accuracy(0.444399997294), Loss(0.00882163810777)
Step 12500: Accuracy(0.446449997723), Loss(0.00866187016247)
Step 12600: Accuracy(0.440099997918), Loss(0.008762054403)
Step 12700: Accuracy(0.444133330534), Loss(0.00877198761639)
Step 12800: Accuracy(0.436749998083), Loss(0.00884056026271)
Step 12900: Accuracy(0.44613333111), Loss(0.00860276440003)
Step 13000: Accuracy(0.450583330691), Loss(0.00859823919677)
Step 13100: Accuracy(0.443333331992), Loss(0.00872605148392)
Step 13200: Accuracy(0.440183331072), Loss(0.00873898886687)
Step 13300: Accuracy(0.44158333083), Loss(0.00886043727398)
Step 13400: Accuracy(0.448366663456), Loss(0.00857330431075)
Step 13500: Accuracy(0.44559999764), Loss(0.00874507182355)
Step 13600: Accuracy(0.452983330588), Loss(0.0085809335229)
Step 13700: Accuracy(0.450366663883), Loss(0.00861690064815)
Step 13800: Accuracy(0.444966664066), Loss(0.00865024927693)
Step 13900: Accuracy(0.449366663992), Loss(0.00857657529414)
Step 14000: Accuracy(0.457333331009), Loss(0.00856734755139)
Step 14100: Accuracy(0.453649998258), Loss(0.00857925572122)
Step 14200: Accuracy(0.455566664288), Loss(0.00854947508623)
