Step 10000: Accuracy(0.444533330897), Loss(0.00873075274285)
Step 10100: Accuracy(0.451483331571), Loss(0.00869666517247)
Step 10200: Accuracy(0.448983330379), Loss(0.00871607205908)
Step 10300: Accuracy(0.449549998045), Loss(0.00870662436277)
Step 10400: Accuracy(0.448466664404), Loss(0.00873240172087)
Step 10500: Accuracy(0.449249997338), Loss(0.00872547663438)
Step 10600: Accuracy(0.443983330826), Loss(0.00879735081224)
Step 10700: Accuracy(0.452149997552), Loss(0.00870210769353)
Step 10800: Accuracy(0.450333330184), Loss(0.00871811618485)
Step 10900: Accuracy(0.443799998512), Loss(0.00876629425523)
Step 11000: Accuracy(0.449499997844), Loss(0.00868142512239)
Step 11100: Accuracy(0.441733331084), Loss(0.00879848843285)
Step 11200: Accuracy(0.446483330876), Loss(0.00871658788606)
Step 11300: Accuracy(0.445366664628), Loss(0.00878991879911)
Step 11400: Accuracy(0.448966664275), Loss(0.00867528250907)
Step 11500: Accuracy(0.456816663146), Loss(0.00860974370036)
Step 11600: Accuracy(0.453433331251), Loss(0.00860827585061)
Step 11700: Accuracy(0.456099997411), Loss(0.00861280240739)
Step 11800: Accuracy(0.451533331076), Loss(0.00867134083839)
Step 11900: Accuracy(0.449683330953), Loss(0.00886085754105)
Step 12000: Accuracy(0.452266664257), Loss(0.00864875816662)
Step 12100: Accuracy(0.451166663766), Loss(0.00863528612768)
Step 12200: Accuracy(0.450033330768), Loss(0.0087201129032)
Step 12300: Accuracy(0.455349998126), Loss(0.00862364069093)
Step 12400: Accuracy(0.457449997614), Loss(0.00857165164237)
Step 12500: Accuracy(0.457716663927), Loss(0.00862036327754)
Step 12600: Accuracy(0.456083331009), Loss(0.00860642601425)
Step 12700: Accuracy(0.453633330613), Loss(0.00860454015123)
Step 12800: Accuracy(0.450833330651), Loss(0.00864217601096)
Step 12900: Accuracy(0.455533330639), Loss(0.00858692494764)
Step 13000: Accuracy(0.448416664799), Loss(0.00864955665854)
Step 13100: Accuracy(0.46084999755), Loss(0.00855395422395)
Step 13200: Accuracy(0.455999997407), Loss(0.00855585582632)
Step 13300: Accuracy(0.460616663645), Loss(0.00857217601656)
Step 13400: Accuracy(0.457283330659), Loss(0.00851872052997)
Step 13500: Accuracy(0.450383330236), Loss(0.00894237217804)
Step 13600: Accuracy(0.459566664447), Loss(0.00847501417932)
Step 13700: Accuracy(0.460716663847), Loss(0.00851257150605)
Step 13800: Accuracy(0.456183330864), Loss(0.00856315151478)
Step 13900: Accuracy(0.457583330572), Loss(0.00861283544684)
Step 14000: Accuracy(0.454416664193), Loss(0.00863591001369)
Step 14100: Accuracy(0.458583330711), Loss(0.0085375183324)
Step 14200: Accuracy(0.453199997594), Loss(0.00851595163035)
Step 14300: Accuracy(0.454399997244), Loss(0.00850638890717)
Step 14400: Accuracy(0.458616663665), Loss(0.00854309937141)
Step 14500: Accuracy(0.462283331205), Loss(0.00844246010063)
Step 14600: Accuracy(0.462649997324), Loss(0.00841680067281)
Step 14700: Accuracy(0.451916664119), Loss(0.00863439892962)
Step 14800: Accuracy(0.448216663549), Loss(0.00930440473758)
Step 14900: Accuracy(0.452199996958), Loss(0.00859344325572)
Step 15000: Accuracy(0.461916663895), Loss(0.00843933490183)
Step 15100: Accuracy(0.457499997467), Loss(0.00854340234771)
Step 15200: Accuracy(0.456549997479), Loss(0.0084961723738)
Step 15300: Accuracy(0.45899999693), Loss(0.00846686152897)
Step 15400: Accuracy(0.451583330433), Loss(0.00859346080727)
Step 15500: Accuracy(0.463699997663), Loss(0.00847337400696)
Step 15600: Accuracy(0.454849996517), Loss(0.00861036652156)
Step 15700: Accuracy(0.459249997437), Loss(0.00849512854436)
Step 15800: Accuracy(0.46081666405), Loss(0.00849610714164)
Step 15900: Accuracy(0.461049997161), Loss(0.00852843807855)
Step 16000: Accuracy(0.462449997018), Loss(0.00842167017671)
Step 16100: Accuracy(0.463749997367), Loss(0.00843771352665)
Step 16200: Accuracy(0.464033329984), Loss(0.00843741087398)
Step 16300: Accuracy(0.462599997471), Loss(0.00842289681779)
Step 16400: Accuracy(0.460949997157), Loss(0.00849419332187)
Step 16500: Accuracy(0.467199997356), Loss(0.00835522623966)
Step 16600: Accuracy(0.461466664175), Loss(0.00853759226156)
Step 16700: Accuracy(0.465816663702), Loss(0.00842782716577)
Step 16800: Accuracy(0.464249997089), Loss(0.00843837710097)
Step 16900: Accuracy(0.459899996718), Loss(0.00842635742932)
Step 17000: Accuracy(0.457616664618), Loss(0.00854905885101)
Step 17100: Accuracy(0.464899996519), Loss(0.00844832535057)
Step 17200: Accuracy(0.461666664233), Loss(0.00842191234852)
Step 17300: Accuracy(0.463999997129), Loss(0.00843533051278)
Step 17400: Accuracy(0.463183330546), Loss(0.00839674107808)
Step 17500: Accuracy(0.45959999755), Loss(0.00851294129)
Step 17600: Accuracy(0.46228333051), Loss(0.00847986281694)
Step 17700: Accuracy(0.468083330592), Loss(0.00834401636307)
Step 17800: Accuracy(0.455183331867), Loss(0.00846096765716)
Step 17900: Accuracy(0.462316663762), Loss(0.00841978278244)
Step 18000: Accuracy(0.464583329757), Loss(0.00848622854644)
Step 18100: Accuracy(0.460183330476), Loss(0.00847165826786)
Step 18200: Accuracy(0.462499997318), Loss(0.00848698938033)
Step 18300: Accuracy(0.464483329753), Loss(0.00837846961649)
Step 18400: Accuracy(0.463433330804), Loss(0.00859468427099)
Step 18500: Accuracy(0.463966664076), Loss(0.00850858594369)
Step 18600: Accuracy(0.462833329936), Loss(0.00843221410333)
Step 18700: Accuracy(0.465099997173), Loss(0.00835302294698)
Step 18800: Accuracy(0.461316664219), Loss(0.0085018697575)
Step 18900: Accuracy(0.462566663871), Loss(0.00839905184771)
Step 19000: Accuracy(0.465133331021), Loss(0.00832411222626)
Step 19100: Accuracy(0.466233330717), Loss(0.00841527317651)
Step 19200: Accuracy(0.465399997234), Loss(0.00845201158974)
Step 19300: Accuracy(0.463349996656), Loss(0.00841839489217)
Step 19400: Accuracy(0.462066663404), Loss(0.00845548415324)
Step 19500: Accuracy(0.465566663841), Loss(0.00835544660765)
Step 19600: Accuracy(0.467049996605), Loss(0.00833073276638)
Step 19700: Accuracy(0.460233331025), Loss(0.00841887761994)
Step 19800: Accuracy(0.454716664155), Loss(0.00858249461899)
Step 19900: Accuracy(0.469966663917), Loss(0.00832759839405)
Step 20000: Accuracy(0.461866663694), Loss(0.00840091719292)
Step 20100: Accuracy(0.46654999728), Loss(0.00832974695445)
Step 20200: Accuracy(0.464049997081), Loss(0.00832832862701)
Step 20300: Accuracy(0.462166664253), Loss(0.00860721398223)
Step 20400: Accuracy(0.46666666468), Loss(0.00836762009033)
Step 20500: Accuracy(0.46301666374), Loss(0.00835313709065)
Step 20600: Accuracy(0.459966662774), Loss(0.0084329038936)
Step 20700: Accuracy(0.465649997542), Loss(0.00846073230108)
Step 20800: Accuracy(0.465433330933), Loss(0.0084043532835)
Step 20900: Accuracy(0.462966663937), Loss(0.00866833821793)
Step 21000: Accuracy(0.468549997111), Loss(0.00832922457717)
Step 21100: Accuracy(0.46539999788), Loss(0.00844115404179)
Step 21200: Accuracy(0.464433329751), Loss(0.00836788028401)
Step 21300: Accuracy(0.46858333076), Loss(0.00846724915706)
Step 21400: Accuracy(0.463266664147), Loss(0.00836503511372)
Step 21500: Accuracy(0.462066663951), Loss(0.00835912918129)
Step 21600: Accuracy(0.468749998858), Loss(0.00839667204147)
Step 21700: Accuracy(0.459299997489), Loss(0.00847868603887)
Step 21800: Accuracy(0.464499997497), Loss(0.00845984024229)
Step 21900: Accuracy(0.472749996831), Loss(0.00830725872191)
Step 22000: Accuracy(0.465383330385), Loss(0.00833682835413)
Step 22100: Accuracy(0.463399997304), Loss(0.0083051612624)
Step 22200: Accuracy(0.466933329602), Loss(0.00829566423393)
