Step 10000: Accuracy(0.530149997175), Loss(0.00737939172968)
Step 10100: Accuracy(0.530616662552), Loss(0.00731365512979)
Step 10200: Accuracy(0.516899996549), Loss(0.00740880450622)
Step 10300: Accuracy(0.526483328789), Loss(0.00753621282134)
Step 10400: Accuracy(0.526299996724), Loss(0.00736802951122)
Step 10500: Accuracy(0.531983330746), Loss(0.00729891258602)
Step 10600: Accuracy(0.53054999724), Loss(0.00738302628587)
Step 10700: Accuracy(0.531216664563), Loss(0.00735070768977)
Step 10800: Accuracy(0.531949997544), Loss(0.00731681849652)
Step 10900: Accuracy(0.529333330293), Loss(0.00739842968605)
Step 11000: Accuracy(0.531216664066), Loss(0.00740164382616)
Step 11100: Accuracy(0.53144999519), Loss(0.00738041667035)
Step 11200: Accuracy(0.530466664284), Loss(0.0074131857076)
Step 11300: Accuracy(0.538149996549), Loss(0.00731732111191)
Step 11400: Accuracy(0.539299996992), Loss(0.00732594185121)
Step 11500: Accuracy(0.530166662484), Loss(0.00743929951296)
Step 11600: Accuracy(0.534066664527), Loss(0.00731217254652)
Step 11700: Accuracy(0.534383330345), Loss(0.00723263647951)
Step 11800: Accuracy(0.529649995913), Loss(0.00737603540998)
Step 11900: Accuracy(0.535966664205), Loss(0.00740515805703)
Step 12000: Accuracy(0.53793332994), Loss(0.0072316618287)
Step 12100: Accuracy(0.535549997638), Loss(0.00729483793645)
Step 12200: Accuracy(0.534799996912), Loss(0.00727408496663)
Step 12300: Accuracy(0.53351666381), Loss(0.00749274122451)
Step 12400: Accuracy(0.534516663353), Loss(0.00727457726607)
Step 12500: Accuracy(0.536883330295), Loss(0.00715085050402)
Step 12600: Accuracy(0.538516662667), Loss(0.00721186724181)
Step 12700: Accuracy(0.538116663049), Loss(0.00719839223428)
Step 12800: Accuracy(0.535899997801), Loss(0.00741953205938)
Step 12900: Accuracy(0.537883331378), Loss(0.00720839878544)
Step 13000: Accuracy(0.541116664112), Loss(0.00715901988481)
Step 13100: Accuracy(0.534466662606), Loss(0.00734302259361)
Step 13200: Accuracy(0.535266663978), Loss(0.00721768507346)
Step 13300: Accuracy(0.532233330111), Loss(0.00725469605997)
Step 13400: Accuracy(0.537966663986), Loss(0.00717690564071)
Step 13500: Accuracy(0.534733331402), Loss(0.00724754650456)
Step 13600: Accuracy(0.533899997572), Loss(0.00748490102589)
Step 13700: Accuracy(0.538566663216), Loss(0.00730480371276)
Step 13800: Accuracy(0.532133330454), Loss(0.00733311133071)
Step 13900: Accuracy(0.534449996253), Loss(0.00731896808216)
Step 14000: Accuracy(0.538783330222), Loss(0.00720493885611)
Step 14100: Accuracy(0.53143332998), Loss(0.007410540878)
Step 14200: Accuracy(0.536566662689), Loss(0.00722047963024)
Step 14300: Accuracy(0.535466663241), Loss(0.00721741473613)
Step 14400: Accuracy(0.536749997238), Loss(0.00731543921167)
Step 14500: Accuracy(0.538916662584), Loss(0.00734554175676)
Step 14600: Accuracy(0.537166662912), Loss(0.00715759758838)
Step 14700: Accuracy(0.536516662786), Loss(0.00725962868038)
Step 14800: Accuracy(0.540549996545), Loss(0.00711328914156)
Step 14900: Accuracy(0.537399996867), Loss(0.00721032789986)
Step 15000: Accuracy(0.536549996783), Loss(0.00723626632166)
Step 15100: Accuracy(0.533516662618), Loss(0.00733848818966)
