Step 10000: Accuracy(0.508599997809), Loss(0.00779199257803)
Step 10100: Accuracy(0.507399997065), Loss(0.00777246331563)
Step 10200: Accuracy(0.510549996545), Loss(0.00771767079365)
Step 10300: Accuracy(0.500266662836), Loss(0.00786878543984)
Step 10400: Accuracy(0.505383329938), Loss(0.00775897727736)
Step 10500: Accuracy(0.503833330919), Loss(0.00777326911377)
Step 10600: Accuracy(0.511549996237), Loss(0.00768347803503)
Step 10700: Accuracy(0.508633330017), Loss(0.00774623300259)
Step 10800: Accuracy(0.507883329441), Loss(0.00771338618981)
Step 10900: Accuracy(0.502133330653), Loss(0.00782739846346)
Step 11000: Accuracy(0.505333330234), Loss(0.00779315674134)
Step 11100: Accuracy(0.509699996014), Loss(0.0077038377896)
Step 11200: Accuracy(0.504816663216), Loss(0.0077301983124)
Step 11300: Accuracy(0.515049996922), Loss(0.00764916524679)
Step 11400: Accuracy(0.506166664859), Loss(0.00770006564756)
Step 11500: Accuracy(0.506399996976), Loss(0.00784449450051)
Step 11600: Accuracy(0.512449997862), Loss(0.00763808938054)
Step 11700: Accuracy(0.506766663392), Loss(0.00776165168732)
Step 11800: Accuracy(0.504383329699), Loss(0.00805823535891)
Step 11900: Accuracy(0.503383330405), Loss(0.00776847228796)
Step 12000: Accuracy(0.510383330286), Loss(0.00770464780352)
Step 12100: Accuracy(0.510933331102), Loss(0.00773304658942)
Step 12200: Accuracy(0.508666662772), Loss(0.00764188904238)
Step 12300: Accuracy(0.505783330897), Loss(0.00775120196243)
Step 12400: Accuracy(0.510166664571), Loss(0.00768076692785)
Step 12500: Accuracy(0.507799997081), Loss(0.00778437578197)
Step 12600: Accuracy(0.513949997127), Loss(0.00758504271042)
Step 12700: Accuracy(0.511016663263), Loss(0.00770413646009)
Step 12800: Accuracy(0.510916663756), Loss(0.00767863141606)
Step 12900: Accuracy(0.512166663309), Loss(0.00773571568386)
Step 13000: Accuracy(0.514649996459), Loss(0.00761521895571)
