===============================================================
arg: 218853 60000 60000 100 0.003
Step 9900: Accuracy(0.510583330045), Loss(0.00769456013261)
===============================================================
218853 60000 60000 100 0.003
Step 0: Accuracy(0.510583330194), Loss(0.00769456013649)
Step 100: Accuracy(0.504483329952), Loss(0.00820167880195)
Step 200: Accuracy(0.496716662198), Loss(0.00793681372423)
Step 300: Accuracy(0.509299998432), Loss(0.00781271906182)
Step 400: Accuracy(0.498399997205), Loss(0.00796191192543)
Step 500: Accuracy(0.503566663067), Loss(0.00786981425636)
Step 600: Accuracy(0.506716663291), Loss(0.00778973900247)
Step 700: Accuracy(0.498766663621), Loss(0.00792312038674)
Step 800: Accuracy(0.50601666525), Loss(0.00780881146668)
Step 900: Accuracy(0.505983331253), Loss(0.00783815086897)
Step 1000: Accuracy(0.504299996297), Loss(0.00772805548894)
Step 1100: Accuracy(0.499766663859), Loss(0.00788865803663)
Step 1200: Accuracy(0.505616663396), Loss(0.0077387547361)
Step 1300: Accuracy(0.511783329894), Loss(0.00766507171638)
Step 1400: Accuracy(0.503799996922), Loss(0.00777285692825)
Step 1500: Accuracy(0.507399997165), Loss(0.00771684554949)
Step 1600: Accuracy(0.494749997755), Loss(0.0081218258307)
Step 1700: Accuracy(0.511383329431), Loss(0.00771681695788)
Step 1800: Accuracy(0.507133330107), Loss(0.00781674155965)
Step 1900: Accuracy(0.505883330007), Loss(0.0079027757297)
Step 2000: Accuracy(0.510733329902), Loss(0.00773910788121)
Step 2100: Accuracy(0.509266663094), Loss(0.00777643159886)
Step 2200: Accuracy(0.507483329425), Loss(0.00773143369239)
Step 2300: Accuracy(0.516033329219), Loss(0.00765718074438)
Step 2400: Accuracy(0.520433330735), Loss(0.00761405920998)
Step 2500: Accuracy(0.516066663166), Loss(0.00762477409793)
Step 2600: Accuracy(0.516716663688), Loss(0.00759219340049)
Step 2700: Accuracy(0.514783329666), Loss(0.00764594244926)
Step 2800: Accuracy(0.512866662194), Loss(0.00766138769376)
Step 2900: Accuracy(0.512916662991), Loss(0.00769674718846)
Step 3000: Accuracy(0.516633330236), Loss(0.00765311409642)
Step 3100: Accuracy(0.514083330284), Loss(0.0076774624091)
Step 3200: Accuracy(0.512099996259), Loss(0.0075935789252)
Step 3300: Accuracy(0.520116664022), Loss(0.00749846753975)
Step 3400: Accuracy(0.513533329815), Loss(0.00762891591915)
Step 3500: Accuracy(0.513383329908), Loss(0.00766175248039)
Step 3600: Accuracy(0.516783329497), Loss(0.00757321330331)
Step 3700: Accuracy(0.50038332964), Loss(0.00768173405668)
Step 3800: Accuracy(0.517749997526), Loss(0.00762321122922)
Step 3900: Accuracy(0.512083330601), Loss(0.00758664909828)
Step 4000: Accuracy(0.516883330097), Loss(0.00756395562552)
Step 4100: Accuracy(0.518249997099), Loss(0.00756764032335)
Step 4200: Accuracy(0.514233329395), Loss(0.0076375247445)
Step 4300: Accuracy(0.516183330119), Loss(0.00760363868127)
Step 4400: Accuracy(0.520766663502), Loss(0.00751242772598)
Step 4500: Accuracy(0.510699996601), Loss(0.00762174082998)
Step 4600: Accuracy(0.515616663496), Loss(0.00760511280891)
Step 4700: Accuracy(0.520599996845), Loss(0.0075755257563)
Step 4800: Accuracy(0.516833330443), Loss(0.00756921701521)
Step 4900: Accuracy(0.518349997054), Loss(0.00757527415718)
Step 5000: Accuracy(0.520033330421), Loss(0.00768627470126)
Step 5100: Accuracy(0.523483329862), Loss(0.00751746419584)
Step 5200: Accuracy(0.515099996775), Loss(0.00763172628203)
Step 5300: Accuracy(0.516916663547), Loss(0.00757128911403)
Step 5400: Accuracy(0.518849996924), Loss(0.00754575727275)
Step 5500: Accuracy(0.513999997129), Loss(0.0075680215975)
===============================================================
218853 60000 60000 100 0.003
Step 0: Accuracy(0.513999996334), Loss(0.00756802156645)
Step 100: Accuracy(0.51356666257), Loss(0.0078421369358)
Step 200: Accuracy(0.511583329886), Loss(0.00766768563384)
Step 300: Accuracy(0.518233330548), Loss(0.0077026974208)
Step 400: Accuracy(0.512133329511), Loss(0.0077231964857)
Step 500: Accuracy(0.508416662415), Loss(0.00775499644534)
Step 600: Accuracy(0.50933332935), Loss(0.00764868232732)
Step 700: Accuracy(0.502399996519), Loss(0.00782784586617)
Step 800: Accuracy(0.516483330429), Loss(0.00765945929646)
Step 900: Accuracy(0.520199996829), Loss(0.00764324516524)
Step 1000: Accuracy(0.511983329902), Loss(0.00762144759685)
Step 1100: Accuracy(0.507366662621), Loss(0.00772318031872)
Step 1200: Accuracy(0.518499997308), Loss(0.00753262586116)
Step 1300: Accuracy(0.519633330405), Loss(0.00751849885099)
Step 1400: Accuracy(0.50731666257), Loss(0.00778292623969)
Step 1500: Accuracy(0.516533330083), Loss(0.00757229851947)
Step 1600: Accuracy(0.500516663194), Loss(0.00798265554787)
Step 1700: Accuracy(0.519116663635), Loss(0.00756157759111)
Step 1800: Accuracy(0.519116662294), Loss(0.00759974723449)
Step 1900: Accuracy(0.517116663605), Loss(0.00764160312402)
Step 2000: Accuracy(0.517249996215), Loss(0.00766165707416)
===============================================================
218853 60000 60000 100 0.0015
Step 0: Accuracy(0.517249996811), Loss(0.00766165706251)
Step 100: Accuracy(0.526766663939), Loss(0.00755651424096)
Step 200: Accuracy(0.527433329572), Loss(0.00737347190734)
Step 300: Accuracy(0.524883331408), Loss(0.00741164353987)
Step 400: Accuracy(0.519066663335), Loss(0.0075267106023)
Step 500: Accuracy(0.521733331432), Loss(0.0074538257136)
Step 600: Accuracy(0.524949997266), Loss(0.0075244206648)
Step 700: Accuracy(0.524033330083), Loss(0.00743209754427)
Step 800: Accuracy(0.528649996916), Loss(0.00737083243982)
Step 900: Accuracy(0.528866663724), Loss(0.00739907018452)
Step 1000: Accuracy(0.523716663073), Loss(0.0073936399864)
Step 1100: Accuracy(0.515566663146), Loss(0.00760129494127)
Step 1200: Accuracy(0.528899997175), Loss(0.00732861593055)
Step 1300: Accuracy(0.526683330089), Loss(0.00740452454581)
Step 1400: Accuracy(0.521933330248), Loss(0.00743539544676)
Step 1500: Accuracy(0.52138332963), Loss(0.00743698993931)
Step 1600: Accuracy(0.520583330095), Loss(0.00768249542608)
Step 1700: Accuracy(0.522266663412), Loss(0.00746368814648)
Step 1800: Accuracy(0.525633330047), Loss(0.00743649491187)
Step 1900: Accuracy(0.529916663369), Loss(0.00739300301221)
Step 2000: Accuracy(0.527083329707), Loss(0.00742435937437)
Step 2100: Accuracy(0.52493332838), Loss(0.00746852181541)
Step 2200: Accuracy(0.527099997749), Loss(0.0074408852635)
Step 2300: Accuracy(0.530916663408), Loss(0.00732319392807)
Step 2400: Accuracy(0.530966662218), Loss(0.00733674428814)
Step 2500: Accuracy(0.532816664626), Loss(0.00733425185705)
Step 2600: Accuracy(0.530583330095), Loss(0.00736949790192)
Step 2700: Accuracy(0.530083328784), Loss(0.00737995056746)
Step 2800: Accuracy(0.53066666469), Loss(0.00730352674611)
Step 2900: Accuracy(0.52836666286), Loss(0.007342273773)
Step 3000: Accuracy(0.532166663955), Loss(0.00729429440573)
Step 3100: Accuracy(0.531133329471), Loss(0.0073540410997)
Step 3200: Accuracy(0.530016664167), Loss(0.00734709745428)
Step 3300: Accuracy(0.531633330832), Loss(0.0073197133552)
Step 3400: Accuracy(0.531666663984), Loss(0.00731431014525)
Step 3500: Accuracy(0.531383330872), Loss(0.00735032996939)
Step 3600: Accuracy(0.529999996573), Loss(0.00741382823248)
Step 3700: Accuracy(0.531633330236), Loss(0.00728586307416)
Step 3800: Accuracy(0.530233329882), Loss(0.00730483848369)
Step 3900: Accuracy(0.530583329896), Loss(0.0073210415019)
Step 4000: Accuracy(0.531749996096), Loss(0.00734741447105)
Step 4100: Accuracy(0.528983329932), Loss(0.0073338751751)
Step 4200: Accuracy(0.52891666313), Loss(0.00731359705639)
Step 4300: Accuracy(0.532616663178), Loss(0.0072809284778)
Step 4400: Accuracy(0.52864999632), Loss(0.00731464759757)
Step 4500: Accuracy(0.530349996835), Loss(0.00729257837404)
Step 4600: Accuracy(0.529783328772), Loss(0.00734136096512)
Step 4700: Accuracy(0.53136666432), Loss(0.00730816375852)
Step 4800: Accuracy(0.533283331146), Loss(0.00728741669639)
Step 4900: Accuracy(0.532166663607), Loss(0.00730547977223)
Step 5000: Accuracy(0.532216663808), Loss(0.0072698575949)
Step 5100: Accuracy(0.530949996809), Loss(0.00734197901795)
Step 5200: Accuracy(0.528316665192), Loss(0.0073416508028)
Step 5300: Accuracy(0.531649997334), Loss(0.00729113305608)
Step 5400: Accuracy(0.533099996597), Loss(0.00729984063189)
Step 5500: Accuracy(0.530699996998), Loss(0.0074695617791)
Step 5600: Accuracy(0.532683331867), Loss(0.00728046385649)
Step 5700: Accuracy(0.533133329997), Loss(0.00738390422504)
Step 5800: Accuracy(0.533166663448), Loss(0.00727605750784)
Step 5900: Accuracy(0.533833329678), Loss(0.00727635128889)
Step 6000: Accuracy(0.531249996821), Loss(0.00732687089127)
Step 6100: Accuracy(0.534683329463), Loss(0.00725251954204)
Step 6200: Accuracy(0.5319833302), Loss(0.00738765056245)
Step 6300: Accuracy(0.533316663305), Loss(0.00736540214003)
Step 6400: Accuracy(0.531683329344), Loss(0.00728759057277)
Step 6500: Accuracy(0.532033331096), Loss(0.00730620906145)
Step 6600: Accuracy(0.529783331255), Loss(0.00730736192471)
Step 6700: Accuracy(0.530799998293), Loss(0.00731387726419)
Step 6800: Accuracy(0.531799996992), Loss(0.00736569842712)
Step 6900: Accuracy(0.531733330091), Loss(0.00734971645055)
Step 7000: Accuracy(0.528349996159), Loss(0.00733832672394)
Step 7100: Accuracy(0.531333330522), Loss(0.00742460939412)
Step 7200: Accuracy(0.529483330846), Loss(0.00730906936806)
Step 7300: Accuracy(0.531166663418), Loss(0.00732131627311)
Step 7400: Accuracy(0.536016664008), Loss(0.00723117892165)
Step 7500: Accuracy(0.530949997008), Loss(0.00727429041251)
Step 7600: Accuracy(0.532566663722), Loss(0.0072952448243)
Step 7700: Accuracy(0.531183330218), Loss(0.00728547629124)
Step 7800: Accuracy(0.536233329773), Loss(0.00723794144578)
Step 7900: Accuracy(0.535116664966), Loss(0.00727127653391)
Step 8000: Accuracy(0.534283330341), Loss(0.00726445023979)
Step 8100: Accuracy(0.533916662981), Loss(0.00727882460536)
Step 8200: Accuracy(0.532299996912), Loss(0.00734261361028)
Step 8300: Accuracy(0.532999996841), Loss(0.00724990688652)
